,strategy,benchmark
2024-02-12 00:00:00+00:00,647735.8663390174,217290.7763954024
2024-02-13 00:00:00+00:00,638707.2670927806,214298.00592418015
2024-02-14 00:00:00+00:00,653019.6771582816,216245.47481187122
2024-02-15 00:00:00+00:00,652824.7997428043,217737.49661322506
2024-02-16 00:00:00+00:00,647361.9129899767,216653.19683601928
2024-02-20 00:00:00+00:00,634157.9506231372,215460.4111745915
2024-02-21 00:00:00+00:00,628728.7744531081,215655.6066789452
2024-02-22 00:00:00+00:00,677506.9279211772,220118.6772303592
2024-02-23 00:00:00+00:00,677901.5969284512,220270.49747104896
2024-02-26 00:00:00+00:00,677343.9358963908,219463.75301980332
2024-02-27 00:00:00+00:00,677250.3672618294,219871.44777248727
2024-02-28 00:00:00+00:00,672385.4181023662,219580.8430509514
2024-02-29 00:00:00+00:00,684036.804029167,220370.24285102432
2024-03-01 00:00:00+00:00,700644.0189717022,222439.12429692462
2024-03-04 00:00:00+00:00,706287.5532291707,222200.59443610316
2024-03-05 00:00:00+00:00,699959.1860198459,219979.87911378106
2024-03-06 00:00:00+00:00,709463.2673946569,221094.55930200324
2024-03-07 00:00:00+00:00,732410.5299690311,223289.2712832983
2024-03-08 00:00:00+00:00,713352.9516842768,221949.0424511701
2024-03-11 00:00:00+00:00,693427.8908359465,221758.2103810737
2024-03-12 00:00:00+00:00,720570.9847620245,224143.75443246515
2024-03-13 00:00:00+00:00,717753.9655600638,223792.38888889647
2024-03-14 00:00:00+00:00,703847.6508195726,223349.99119813496
2024-03-15 00:00:00+00:00,702775.249751561,221816.35314255217
2024-03-18 00:00:00+00:00,713516.1239673997,223134.61481034127
2024-03-19 00:00:00+00:00,717183.5601543041,224374.58010467605
2024-03-20 00:00:00+00:00,727383.6568436681,226449.91125183794
2024-03-21 00:00:00+00:00,734668.8990452427,227198.26749842815
2024-03-22 00:00:00+00:00,740302.8464661781,226767.5419943049
2024-03-25 00:00:00+00:00,736884.0857973762,226141.0210136176
2024-03-26 00:00:00+00:00,728371.1445847776,225723.35854080215
2024-03-27 00:00:00+00:00,726237.1418902926,227620.2661340368
2024-03-28 00:00:00+00:00,723455.6979061699,227576.76814878438
2024-04-01 00:00:00+00:00,724567.233915878,227180.827397131
2024-04-02 00:00:00+00:00,725061.0541184039,225736.3943006458
2024-04-03 00:00:00+00:00,727730.960323636,225984.3737237807
2024-04-04 00:00:00+00:00,719585.2689641679,223226.01512229955
2024-04-05 00:00:00+00:00,735448.9478114693,225557.9980181827
2024-04-08 00:00:00+00:00,730408.560487494,225684.15581114675
2024-04-09 00:00:00+00:00,722802.3697563394,225945.22553705354
2024-04-10 00:00:00+00:00,726912.6557984838,223682.83941757426
2024-04-11 00:00:00+00:00,738552.179393362,225370.92941013322
2024-04-12 00:00:00+00:00,711042.9586680038,222260.11440651907
2024-04-15 00:00:00+00:00,699526.3909672208,219475.60247095829
2024-04-16 00:00:00+00:00,700771.7205727707,219075.32555651173
2024-04-17 00:00:00+00:00,685857.3997545469,217778.7856098847
2024-04-18 00:00:00+00:00,688489.107862902,217330.6881831246
2024-04-19 00:00:00+00:00,650384.5351697156,215433.75331842585
2024-04-22 00:00:00+00:00,662845.744005819,217417.68415362944
2024-04-23 00:00:00+00:00,680247.0214652113,219997.7010155757
2024-04-24 00:00:00+00:00,673256.2759933631,219893.2785795058
2024-04-25 00:00:00+00:00,658283.6713705965,219057.9399981428
2024-04-26 00:00:00+00:00,666691.1427470051,221133.25750957264
2024-04-29 00:00:00+00:00,665132.1047268211,221916.41214436476
2024-04-30 00:00:00+00:00,657686.8816405616,218400.98406351087
2024-05-01 00:00:00+00:00,652658.5809371198,217691.816910844
2024-05-02 00:00:00+00:00,664688.690956396,219727.94532835047
2024-05-03 00:00:00+00:00,678342.0663742943,222451.5600845579
2024-05-06 00:00:00+00:00,695031.9298002976,224748.7718637032
2024-05-07 00:00:00+00:00,696448.2404167075,224996.75128683812
2024-05-08 00:00:00+00:00,695611.6911280351,225018.51391519638
2024-05-09 00:00:00+00:00,694574.606860457,226315.01295462725
2024-05-10 00:00:00+00:00,695388.0408341612,226606.54490594278
2024-05-13 00:00:00+00:00,691555.8663136159,226637.0071313515
2024-05-14 00:00:00+00:00,696522.5450948636,227676.84078632903
2024-05-15 00:00:00+00:00,708267.9121381073,230496.20565301998
2024-05-16 00:00:00+00:00,700545.3361413184,230021.9276207161
2024-05-17 00:00:00+00:00,696497.9895780132,230352.59412302676
2024-05-20 00:00:00+00:00,699338.8085647288,230618.00001172672
2024-05-21 00:00:00+00:00,698311.0625391561,231183.5829058645
2024-05-22 00:00:00+00:00,699081.2741620796,230517.88646698592
2024-05-23 00:00:00+00:00,715999.6502409299,228834.1735444163
2024-05-24 00:00:00+00:00,730653.0907240935,230348.23068876946
2024-05-28 00:00:00+00:00,751559.553064613,230509.18686993542
2024-05-29 00:00:00+00:00,750383.0472450538,228895.04345230554
2024-05-30 00:00:00+00:00,735753.5578175248,227376.63650942713
2024-05-31 00:00:00+00:00,737092.0908988417,229447.64512952787
2024-06-03 00:00:00+00:00,754621.9457620772,229634.7273733094
2024-06-04 00:00:00+00:00,760475.4710138,229891.4336649589
2024-06-05 00:00:00+00:00,784953.8558037906,232623.6798395565
2024-06-06 00:00:00+00:00,781542.0176268866,232619.34367676332
